Voltage   	Current	
1.698427	-9.985837E-11
1.598644	-9.322809E-11
1.499093	-5.922041E-12
1.398271	-3.892120E-11
1.298526	-8.406745E-11
1.198777	-1.904034E-10
1.097887	-1.012246E-10
0.998395	-4.823369E-11
0.898316	-3.770659E-11
0.798923	-1.147888E-10
0.698041	-2.282652E-11
0.598533	-4.595624E-11
0.498398	-6.134235E-11
0.398842	-6.858011E-11
0.298063	-1.424232E-10
0.198147	-1.266827E-10
0.098694	-1.156998E-10
