Voltage   	Current
-19.389050	-3.310749E-10
-19.290133	-3.276834E-10
-19.190706	-2.922538E-10
-19.088596	-2.911404E-10
-18.989580	-2.868886E-10
-18.890631	-2.675037E-10
-18.788382	-2.783349E-10
-18.689310	-2.786386E-10
-18.590538	-2.725142E-10
-18.491343	-2.677567E-10
-18.389204	-2.653773E-10
-18.289837	-2.585953E-10
-18.190943	-2.574821E-10
-18.088568	-2.652765E-10
-17.989664	-2.489787E-10
-17.890638	-2.577353E-10
-17.791712	-2.563686E-10
-17.689459	-2.595568E-10
-17.590605	-2.545462E-10
-17.491196	-2.587469E-10
-17.392193	-2.464481E-10
-17.289984	-2.445750E-10
-17.191015	-2.539894E-10
-17.091829	-2.301506E-10
-16.989668	-2.501431E-10
-16.890831	-2.526229E-10
-16.791759	-2.401717E-10
-16.692837	-2.533315E-10
-16.590036	-2.471060E-10
-16.491289	-2.319216E-10
-16.385548	-2.228111E-10
-16.286680	-2.454358E-10
-16.187719	-2.179525E-10
-16.085701	-2.247852E-10
-15.986605	-2.179521E-10
-15.887743	-2.065647E-10
-15.788374	-2.193188E-10
-15.686148	-2.163832E-10
-15.587049	-2.261011E-10
-15.488143	-2.219004E-10
-15.385726	-2.106638E-10
-15.286853	-1.998325E-10
-15.187787	-2.089431E-10
-15.088850	-2.033249E-10
-14.986705	-2.037295E-10
-14.887100	-1.963401E-10
-14.788444	-1.943663E-10
-14.685964	-1.826745E-10
-14.587060	-1.843957E-10
-14.487838	-1.841929E-10
-14.389135	-1.782710E-10
-14.286748	-1.826238E-10
-14.187866	-1.882418E-10
-14.088469	-1.756897E-10
-13.986359	-1.734122E-10
-13.887168	-1.768032E-10
-13.788320	-1.772590E-10
-13.689311	-1.749303E-10
-13.587045	-1.704260E-10
-13.487984	-1.640992E-10
-13.382537	-1.783725E-10
-13.283087	-1.618216E-10
-13.184233	-1.679965E-10
-13.081972	-1.628340E-10
-12.982891	-1.661741E-10
-12.883950	-1.627328E-10
-12.784986	-1.541282E-10
-12.682690	-1.480545E-10
-12.583453	-1.554442E-10
-12.484646	-1.687553E-10
-12.381571	-1.463843E-10
-12.282625	-1.498260E-10
-12.183457	-1.483582E-10
-12.084404	-1.504842E-10
-11.981711	-1.451700E-10
-11.882850	-1.411712E-10
-11.783669	-1.367675E-10
-11.681249	-1.337309E-10
-11.581637	-1.480547E-10
-11.482615	-1.345409E-10
-11.383415	-1.360589E-10
-11.281022	-1.320100E-10
