Voltage   	Current	
15.698470	-7.505596E-11
15.797960	-1.947020E-10
15.897670	-9.221326E-11
15.997320	-5.076203E-11
16.098460	-6.614814E-11
16.197790	-4.519479E-11
16.297550	1.665647E-10
16.397190	-8.500232E-10
16.498130	-1.119011E-10
16.597900	-8.492509E-11
16.697730	-6.746420E-11
16.797420	3.689502E-10
16.898180	-1.052204E-10
16.998030	-6.695802E-11
17.097640	-1.114961E-10
17.197380	-3.704637E-11
17.298210	-1.993977E-11
17.397960	-2.241970E-11
17.497770	-5.005360E-11
17.597470	7.213298E-10
17.697970	-2.732892E-11
17.798120	8.027165E-11
17.897570	-5.683556E-11
17.997060	3.532850E-11
18.097760	2.734341E-12
18.198050	-3.821049E-11
18.297380	-1.786460E-11
18.397090	-4.199197E-12
18.498050	-2.267259E-11
18.597810	-2.388734E-11
18.697510	-4.807976E-11
18.797400	-6.564749E-13
18.897800	2.814149E-11
18.997890	5.658536E-11
19.097600	8.048784E-12
19.197470	1.629841E-11
19.298110	-2.578656E-10
19.397910	-5.142015E-11
19.497600	-1.361311E-11
19.597320	-7.196846E-11
19.698230	-1.260089E-11
19.797900	1.237472E-10
19.897570	-6.274370E-12
19.997370	-4.035106E-13
20.098090	-1.649803E-11
20.197810	-2.550685E-11
20.297630	-1.533404E-11
20.397160	-2.373543E-11
20.498100	2.105592E-11
20.597760	-2.743022E-11
20.697330	8.554851E-12
20.797170	1.359952E-10
20.897940	-1.978773E-11
20.997390	-2.510220E-11
21.097360	6.682238E-12
21.197030	-2.277381E-11
21.297940	5.815450E-11
21.397750	-4.974987E-11
21.497360	9.060863E-12
21.596900	-1.411921E-11
21.698200	-4.646017E-11
21.797570	-6.473086E-11
21.897130	-2.216652E-11
21.997020	-7.691570E-12
22.097750	1.923402E-11
22.197340	-2.883555E-12
22.297480	5.263766E-11
22.396760	-4.990161E-11
22.497430	5.866063E-11
22.597670	5.923206E-12
22.696750	9.769671E-12
22.798210	4.216100E-11
22.897460	-3.881767E-11
22.997120	2.986240E-11
23.096850	2.470006E-11
23.197660	2.723070E-11
23.297380	8.816715E-11
23.397630	-2.636721E-11
23.496730	2.065108E-11
23.597610	2.672444E-11
23.697660	8.959722E-12
23.797010	1.375642E-10
23.896780	-8.349543E-12
23.997540	1.138910E-11
24.097280	5.364996E-11
24.197100	1.584291E-11
24.296980	1.199974E-9
24.397690	1.091623E-9
24.497270	-1.618045E-10
24.597280	-7.664630E-10
24.696830	-4.844538E-10
24.797970	-2.370638E-10
24.897390	1.048184E-10
24.997140	3.683936E-10
25.096970	-1.828082E-10
25.197740	-2.930406E-10
25.297430	2.169234E-10
25.396990	4.289707E-10
25.496930	-2.744661E-10
25.597380	-8.598788E-11
25.697240	4.921795E-10
25.797040	-4.757369E-11
25.896940	-6.021433E-12
25.997880	2.935625E-11
